"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04620","Toll-like receptor signaling pathway",76,0.445407350402483,1.93389330217294,0.00014114976916,0.00366989399816001,0.00266298754771498,3111,"tags=54%, list=28%, signal=39%","IRF5/MAP3K8/TLR2/FOS/MAPK14/TLR6/TOLLIP/MAP2K6/TLR8/MAPK1/RAC1/STAT2/TLR5/CD14/TNF/PIK3R2/TLR4/STAT1/NFKBIA/TLR7/IKBKG/TIRAP/JUN/MAP2K1/MAPK3/TLR1/IRF7/MYD88/FADD/MAP2K4/CHUK/TAB2/TBK1/IL1B/IFNAR1/IFNAR2/LY96/MAP2K2/CD86/CTSK/AKT1"
"hsa05206","MicroRNAs in cancer",127,0.380283415611569,1.80846077445833,0.000130203627569047,0.00366989399816001,0.00266298754771498,1508,"tags=28%, list=14%, signal=24%","THBS1/ITGB3/MMP9/CYP1B1/TRIM71/VEGFA/VIM/TPM1/SOX4/SOCS1/IRS1/IRS2/SOS2/BCL2L2/ZEB2/BCL2L11/MAPK1/E2F2/TGFB2/APC/PIK3R2/MARCKS/MDM2/PDGFA/RECK/DDIT4/FSCN1/PLCG2/HDAC4/PTEN/CDKN1A/NOTCH2/MAP2K1/MAPK3/ROCK1"
"hsa04380","Osteoclast differentiation",118,0.384339661364843,1.80359623837397,0.000138816715124298,0.00366989399816001,0.00266298754771498,2480,"tags=46%, list=23%, signal=36%","ITGB3/OSCAR/IL1R1/SOCS1/SIRPA/LILRA5/LILRA2/SIRPB1/FOS/MAPK14/MAP2K6/PPP3R1/GAB2/MAPK1/RAC1/STAT2/IFNGR1/TGFB2/TNF/PIK3R2/MITF/PLCG2/STAT1/LILRA6/NFKBIA/FCGR1A/IFNGR2/LILRB4/IKBKG/CSF1/CYBA/JUN/MAP2K1/MAPK3/SPI1/SQSTM1/FOSL2/SYK/LILRB2/ATP2A2/TYROBP/TGFB1/PPP3CA/TGFBR1/LILRB3/NCF1/SOCS3/LILRB1/NCF4/TNFRSF1A/GRB2/FCGR3B/CHUK/TAB2"
"hsa04510","Focal adhesion",134,0.371248473295066,1.76850105469536,0.000163131557908387,0.00393846189807391,0.00285786864606422,1699,"tags=28%, list=15%, signal=24%","THBS1/ITGB3/EGF/ITGA2B/ITGB5/MYL9/PDGFC/VEGFA/IGF1R/ITGA9/PARVB/TLN1/MYLK4/VAV3/ZYX/SOS2/PIP5K1B/MAPK1/RAC1/MYLK/LAMC1/PPP1R12A/BRAF/BIRC2/PIK3R2/THBS2/PDGFA/VWF/CCND3/PTEN/JUN/MAP2K1/MAPK3/ROCK1/COL9A3/PAK1/VCL"
"hsa03030","DNA replication",33,-0.563172734837928,-2.0620419273801,0.000176021153903364,0.00396634333462247,0.00287810027084097,3446,"tags=64%, list=31%, signal=44%","RFC4/RFC1/POLA2/RPA3/MCM6/PCNA/LIG1/POLE4/POLD2/FEN1/RPA1/MCM2/RNASEH1/RNASEH2B/MCM3/RNASEH2C/MCM4/MCM7/RFC5/SSBP1/PRIM1"
"hsa04145","Phagosome",110,0.392950560567615,1.82338086877602,0.000195212214489205,0.00412385803108447,0.00299239776157795,2546,"tags=46%, list=23%, signal=36%","FCAR/HLA-DRB4/THBS1/ITGB3/MPO/HLA-DQA1/ITGB5/TUBB2A/MRC2/MARCO/TLR2/ATP6AP1/HLA-DPA1/ATP6V0C/CLEC7A/TLR6/ATP6V1C1/ITGB2/RAC1/CD14/TUBB1/THBS2/CD36/TAP2/TLR4/FCGR1A/LAMP2/STX7/VAMP3/ATP6V0D1/RAB7A/CYBA/RAB5C/HLA-F/RAB5A/ATP6V0A1/TUBA4A/RILP/STX12/CTSS/NCF1/TCIRG1/ATP6V1B2/NCF4/LAMP1/TAP1/ATP6V0B/FCGR3B/CYBB/DYNC1LI2/ITGAM"
"hsa05202","Transcriptional misregulation in cancer",125,0.367797481667768,1.75086204895607,0.000220633280142807,0.00426259453556084,0.00309306922075888,1664,"tags=33%, list=15%, signal=28%","DEFA4/MMP9/MPO/GADD45A/ETV7/SMAD1/PBX1/IGF1R/IL1R2/CEBPA/BCL2L1/JMJD1C/HHEX/ETV5/CEBPE/CDK14/REL/MEIS1/CD14/PML/RXRA/BIRC2/TFE3/MDM2/BMP2K/PDGFA/MITF/JUP/LYL1/FCGR1A/PTCRA/MLLT1/SP1/FLI1/SPINT1/CDKN1A/BCL6/KDM6A/SPI1/BCL2A1/LMO2"
"hsa05152","Tuberculosis",139,0.362583799394124,1.73569771633499,0.00022700207585827,0.00426259453556084,0.00309306922075888,2657,"tags=50%, list=24%, signal=38%","HLA-DRB4/HLA-DQA1/CAMP/CR1/CLEC4E/MRC2/TLR2/ATP6AP1/HLA-DPA1/ATP6V0C/JAK2/CLEC7A/MAPK14/TLR6/CTSD/PPP3R1/VDR/MAPK1/ITGB2/CD14/CR1L/IFNGR1/TGFB2/TNF/IL18/TLR4/CASP9/STAT1/FCGR1A/LAMP2/IFNGR2/NOD2/CAMK2G/TIRAP/ATP6V0D1/RAB7A/MAPK3/RAB5C/TLR1/RAB5A/CALML4/RIPK2/SYK/ATP6V0A1/MYD88/TGFB1/PPP3CA/FADD/CREBBP/APAF1/CTSS/IRAK2/FCER1G/CASP10/TCIRG1/NFYA/TNFRSF1A/LAMP1/NFYC/ATP6V0B/SPHK2/CEBPB/FCGR3B/EP300/CAMK2B/ITGAM/IL1B/CORO1A/ITGAX"
"hsa04142","Lysosome biogenesis",207,0.32002116855049,1.63538364973606,0.0002687624417315,0.00478114238448668,0.00346934343066147,2763,"tags=38%, list=25%, signal=29%","RRAGD/OSBPL1A/CTBS/SORT1/ATP6AP1/FUCA1/CTSA/TFEB/SLC15A3/ATP6V0C/SLC36A1/CTSD/TLR8/DMXL2/LAMP3/ARSB/CLTCL1/GM2A/ATP6V1C1/SLC15A4/CD63/SLC11A1/DNASE2/TFE3/ASAH1/SGSH/MITF/CTSB/LAMP2/TLR7/MANBA/CTSH/AP1S1/ATP6V0D1/TPCN2/RAB7A/CTNS/RRAGC/AP2A2/MCOLN1/GALC/GLA/MAN2B1/CLN6/IGF2R/AKT1S1/GNS/ARL8A/AP1B1/TPP1/ATP6V0A1/OSBPL2/SUMF1/SLC29A3/NEU1/LAPTM4B/CTSS/IDS/OSBPL5/TCIRG1/ATP6V1B2/SLC36A4/LAMP1/AP2A1/ATP6V0B/SNAP29/AP2B1/VPS26A/GPR155/ARSA/GALNS/FIG4/NAGA/HGSNAT/SLC2A6/AP2S1/AP3B1/CD164/ARL8B"
"hsa05133","Pertussis",54,0.490049878676193,1.99373206659217,0.000315741897059164,0.00493488980218719,0.00358090726848214,2965,"tags=50%, list=27%, signal=37%","SERPING1/CXCL5/NLRP3/FOS/MAPK14/MAPK1/ITGB2/GNAI3/CD14/TNF/TLR4/C2/TIRAP/JUN/PYCARD/MAPK3/CALML4/CASP1/MYD88/C4BPB/C1QA/ITGAM/IL1B/GNAI2/RHOA/CASP7/LY96"
