"Feature","Gain","Cover","Frequency","Gene Symbol","Gene Title","ENTREZ_GENE_ID","logFC","P.Value","adj.P.Val"
"202747_s_at",0.00347956759528472,0.00401891755640391,0.00571428571428571,"ITM2A","integral membrane protein 2A","9452",-0.245410572374779,0.000107302171417001,0.036821947517259
"1562529_s_at",0.00322037597863618,0.0023169173069678,0.00380952380952381,"","","",-0.190388892484628,0.000167259524807699,0.0408024481007032
"201049_s_at",0.00302844697574461,0.00344699639258187,0.00380952380952381,"RPS18","ribosomal protein S18","6222",-0.15260364577618,4.94038333014981e-05,0.0257693121467378
"202656_s_at",0.00289579261826591,0.0036376530893818,0.00380952380952381,"SERTAD2","SERTA domain containing 2","9792",-0.126225533591055,7.51013285516737e-05,0.0327635123065726
"1558136_s_at",0.00287897825251635,0.00227829544930983,0.00571428571428571,"TAF11","TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa","6882",-0.191713835276354,0.000226985556527901,0.0468677424503648
"230998_at",0.0028770272595674,0.00417743966834414,0.00380952380952381,"CBX3","chromobox homolog 3","11335",-0.135906490975769,7.81024448957075e-05,0.0327635123065726
"219717_at",0.00281204156732624,0.00102315924811767,0.0019047619047619,"DCAF16","DDB1 and CUL4 associated factor 16","54876",-0.337625686571753,9.02681242795762e-05,0.0348576809628746
"242633_x_at",0.00278095874141041,0.00250979487898539,0.0019047619047619,"ZNF75A","zinc finger protein 75a","7627",-0.143596960109503,2.23080532718907e-05,0.0182729996361357
"233881_s_at",0.0026773683985752,0.00359062212295118,0.00380952380952381,"TOLLIP","toll interacting protein","54472",0.159082224498247,0.000148013177826804,0.0397974038462678
"208470_s_at",0.00266244121359689,0.00192595637505904,0.0019047619047619,"HP /// HPR","haptoglobin /// haptoglobin-related protein","3240 /// 3250",0.369943212911434,0.000216103769788518,0.0468677424503648
"1562697_at",0.00265825965596077,0.00318440490556551,0.00571428571428571,"LOC339988","uncharacterized LOC339988","339988",-0.286819065845586,0.000124405180066358,0.0375732051169894
"225056_at",0.00265241182787265,0.00241669405981765,0.00380952380952381,"SIPA1L2","signal-induced proliferation-associated 1 like 2","57568",0.346916015897069,0.000408878420434471,0.0563897580753275
"218865_at",0.00252427411350135,0.0054945008690621,0.00571428571428571,"MARC1","mitochondrial amidoxime reducing component 1","64757",0.345394519783208,2.03440786960213e-05,0.0178987091029274
"231500_s_at",0.00250807240188845,0.00144372897923589,0.00380952380952381,"BOLA2","bolA family member 2","552900",-0.116267199433492,0.000113167629060028,0.0370788992596051
"220034_at",0.00247416123711849,0.00326892126310591,0.00380952380952381,"IRAK3","interleukin-1 receptor-associated kinase 3","11213",0.284479474633416,0.00020877493772042,0.0468677424503648
"226956_at",0.00245676454947819,0.00139467812796905,0.00380952380952381,"MTMR3","myotubularin related protein 3","8897",0.195350656702135,0.000113852563299442,0.0370788992596051
"208530_s_at",0.00233283128500407,0.00177604651504232,0.00571428571428571,"RARB","retinoic acid receptor, beta","5915",-0.17043472757651,0.000346938841412208,0.0539345686066497
"223254_s_at",0.00229943891610041,0.00136294748093533,0.0019047619047619,"G2E3","G2/M-phase specific E3 ubiquitin protein ligase","55632",-0.184622326271789,0.000427048251113729,0.0581631462449372
